user_id,first_name,last_name,gender,age,city,postal_code,cart_id,product_id,quantity,price,total_cart_value
33,Carter,Baker,male,31,Denver,74622,1,168,3,32999.99,103774.85
33,Carter,Baker,male,31,Denver,74622,1,78,2,1999.99,103774.85
33,Carter,Baker,male,31,Denver,74622,1,183,5,24.99,103774.85
33,Carter,Baker,male,31,Denver,74622,1,100,5,129.99,103774.85
142,Aria,Parker,female,27,Phoenix,16573,2,144,4,44.99,4794.8
142,Aria,Parker,female,27,Phoenix,16573,2,124,4,899.99,4794.8
142,Aria,Parker,female,27,Phoenix,16573,2,148,4,9.99,4794.8
142,Aria,Parker,female,27,Phoenix,16573,2,122,3,299.99,4794.8
142,Aria,Parker,female,27,Phoenix,16573,2,110,5,14.99,4794.8
108,James,Garcia,male,45,Washington,54618,3,98,1,13999.99,16775.87
108,James,Garcia,male,45,Washington,54618,3,125,5,249.99,16775.87
108,James,Garcia,male,45,Washington,54618,3,55,2,6.99,16775.87
108,James,Garcia,male,45,Washington,54618,3,62,2,5.99,16775.87
108,James,Garcia,male,45,Washington,54618,3,132,3,499.99,16775.87
87,Hunter,Gordon,male,33,Charlotte,77521,4,187,5,49.99,456.83
87,Hunter,Gordon,male,33,Charlotte,77521,4,40,5,3.99,456.83
87,Hunter,Gordon,male,33,Charlotte,77521,4,156,5,34.99,456.83
87,Hunter,Gordon,male,33,Charlotte,77521,4,62,2,5.99,456.83
134,Nora,Russell,female,24,Charlotte,77947,5,108,2,29.99,7431.3
134,Nora,Russell,female,24,Charlotte,77947,5,138,5,8.99,7431.3
134,Nora,Russell,female,24,Charlotte,77947,5,157,2,19.99,7431.3
134,Nora,Russell,female,24,Charlotte,77947,5,8,3,89.99,7431.3
134,Nora,Russell,female,24,Charlotte,77947,5,80,5,1399.99,7431.3
134,Nora,Russell,female,24,Charlotte,77947,5,28,3,5.49,7431.3
150,Stella,Morris,female,39,San Diego,80524,6,172,5,49.99,35199.86
150,Stella,Morris,female,39,San Diego,80524,6,112,3,499.99,35199.86
150,Stella,Morris,female,39,San Diego,80524,6,97,3,10999.99,35199.86
150,Stella,Morris,female,39,San Diego,80524,6,128,3,149.99,35199.86
86,Nora,Mills,female,26,San Jose,51983,7,167,5,28999.99,145651.89
86,Nora,Mills,female,26,San Jose,51983,7,111,4,12.99,145651.89
86,Nora,Mills,female,26,San Jose,51983,7,129,2,299.99,145651.89
23,Chloe,Morales,female,39,Dallas,54972,8,117,2,7499.99,15685.86
23,Chloe,Morales,female,39,Dallas,54972,8,18,4,8.99,15685.86
23,Chloe,Morales,female,39,Dallas,54972,8,105,5,99.99,15685.86
23,Chloe,Morales,female,39,Dallas,54972,8,6,3,49.99,15685.86
194,Brayden,Hill,male,45,Austin,40298,9,178,2,89.99,65529.87
194,Brayden,Hill,male,45,Austin,40298,9,191,4,15999.99,65529.87
194,Brayden,Hill,male,45,Austin,40298,9,47,2,49.99,65529.87
194,Brayden,Hill,male,45,Austin,40298,9,134,5,249.99,65529.87
160,Claire,Foster,female,29,San Jose,33308,10,190,5,4999.99,29499.92
160,Claire,Foster,female,29,San Jose,33308,10,94,3,1499.99,29499.92
172,Ariana,Ross,female,36,Chicago,59220,11,88,1,149.99,568.36
172,Ariana,Ross,female,36,Chicago,59220,11,32,3,3.49,568.36
172,Ariana,Ross,female,36,Chicago,59220,11,74,3,4.99,568.36
172,Ariana,Ross,female,36,Chicago,59220,11,145,3,29.99,568.36
172,Ariana,Ross,female,36,Chicago,59220,11,26,3,0.99,568.36
172,Ariana,Ross,female,36,Chicago,59220,11,127,1,299.99,568.36
202,Caleb,Nelson,male,36,Philadelphia,22625,12,63,4,7.99,931.91
202,Caleb,Nelson,male,36,Philadelphia,22625,12,181,5,179.99,931.91
41,Evan,Reed,male,32,San Antonio,19937,13,85,2,34.99,793.07
41,Evan,Reed,male,32,San Antonio,19937,13,109,3,19.99,793.07
41,Evan,Reed,male,32,San Antonio,19937,13,160,1,599.99,793.07
41,Evan,Reed,male,32,San Antonio,19937,13,163,3,19.99,793.07
41,Evan,Reed,male,32,San Antonio,19937,13,31,4,0.79,793.07
94,Ruby,Andrews,female,28,Dallas,85259,14,92,3,109.99,586.82
94,Ruby,Andrews,female,28,Dallas,85259,14,54,5,8.99,586.82
94,Ruby,Andrews,female,28,Dallas,85259,14,76,1,11.99,586.82
94,Ruby,Andrews,female,28,Dallas,85259,14,44,5,29.99,586.82
94,Ruby,Andrews,female,28,Dallas,85259,14,67,3,15.99,586.82
94,Ruby,Andrews,female,28,Dallas,85259,14,16,1,1.99,586.82
11,Liam,Garcia,male,29,Denver,57252,15,11,5,1899.99,11741.31
11,Liam,Garcia,male,29,Denver,57252,15,133,3,699.99,11741.31
11,Liam,Garcia,male,29,Denver,57252,15,111,3,12.99,11741.31
11,Liam,Garcia,male,29,Denver,57252,15,162,3,29.99,11741.31
11,Liam,Garcia,male,29,Denver,57252,15,30,5,2.49,11741.31
200,Adrian,Flores,male,43,New York,60163,16,19,2,9.99,172.24
200,Adrian,Flores,male,43,New York,60163,16,152,3,49.99,172.24
200,Adrian,Flores,male,43,New York,60163,16,35,1,2.29,172.24
141,Owen,Sullivan,male,43,Charlotte,78780,17,1,2,9.99,192.87
141,Owen,Sullivan,male,43,Charlotte,78780,17,60,3,10.99,192.87
141,Owen,Sullivan,male,43,Charlotte,78780,17,74,4,4.99,192.87
141,Owen,Sullivan,male,43,Charlotte,78780,17,44,4,29.99,192.87
189,Tristan,Scott,male,30,San Diego,74135,18,127,4,299.99,1464.78
189,Tristan,Scott,male,30,San Diego,74135,18,24,3,14.99,1464.78
189,Tristan,Scott,male,30,San Diego,74135,18,20,5,4.99,1464.78
189,Tristan,Scott,male,30,San Diego,74135,18,154,3,29.99,1464.78
189,Tristan,Scott,male,30,San Diego,74135,18,44,2,29.99,1464.78
189,Tristan,Scott,male,30,San Diego,74135,18,5,5,8.99,1464.78
59,Ethan,Fletcher,male,33,Dallas,87924,19,187,3,49.99,933.87
59,Ethan,Fletcher,male,33,Dallas,87924,19,153,5,11.99,933.87
59,Ethan,Fletcher,male,33,Dallas,87924,19,34,3,7.99,933.87
59,Ethan,Fletcher,male,33,Dallas,87924,19,130,2,349.99,933.87
90,Scarlett,Bowman,female,27,New York,63825,20,107,1,49.99,3534.78
